sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,victory,combosExecuted,perfectDodges,hitsDealt,hitsTaken,playerAccuracy,avgReactionTime,lapsCompleted,bestLapTime,avgLapTime,totalRaceTime,collisions,maxSpeed,avgSpeed,consistency,feedback
9ce3b181-5421-4501-a8bb-31ccd9f62020,1,Fighting,Medium,33.13,2950,0,TRUE,11/1/2026 16:54,TRUE,6,10,13,2,1,0.5511051,,,,,,,,,TooEasy
cebdef88-7877-43ef-bc35-70692e4fe106,1,Racing,Medium,122.3,600,0,TRUE,11/1/2026 17:01,,,,,,,,3,39.57999,40.76645,122.2993,10,40,37.64244,0.9677507,Balanced
88a8e63b-a9f2-4ab3-ae56-ebd5e65ea589,2,Fighting,Medium,40.53,469,1,TRUE,11/1/2026 17:08,FALSE,1,0,7,10,0.5384616,0,,,,,,,,,TooHard
b35ad4ab-920c-4e46-ab6d-33d7b6154708,2,Racing,Medium,177.94,50,0,TRUE,11/1/2026 17:16,,,,,,,,3,57.81998,59.31197,177.9359,21,40,26.76684,0.9795161,TooHard
955585c6-2018-495f-90c7-7c5c5954ec12,3,Fighting,Medium,37.81,512,1,TRUE,11/1/2026 17:24,FALSE,1,0,10,10,0.625,0,,,,,,,,,Balanced
19977a02-8ed7-4f59-b508-c3cf2c141081,3,Racing,Medium,49.41,0,1,FALSE,11/1/2026 17:30,,,,,,,,1,43.47988,43.47988,49.40567,32,40,35.97134,1,TooHard
db6875ff-4fe2-4427-a8bf-7c6f3c05151c,4,Fighting,Medium,28.85,2256,0,TRUE,11/1/2026 19:49,TRUE,11,0,13,1,0.8125,0,,,,,,,,,TooEasy
73c4a339-5116-494e-915b-2a2a862944d2,4,Racing,Medium,118.32,0,0,TRUE,11/1/2026 19:55,,,,,,,,3,38.87999,39.43989,118.3197,28,40,38.56696,0.9872481,TooHard
03dcb765-5754-43ba-a80d-b86ce3719771,5,Fighting,Medium,23.93,3614,0,TRUE,12/1/2026 0:19,TRUE,11,13,13,0,0.9285714,0.2609197,,,,,,,,,TooEasy
6edde4c1-3337-4b3b-936a-bc0581922621,5,Racing,Medium,126.52,0,0,TRUE,12/1/2026 0:26,,,,,,,,3,40.77998,42.17327,126.5198,25,40,36.73416,0.9677295,TooHard
46d1caea-233c-4277-b7dd-8fd6b8c30f60,6,Fighting,Medium,24.54,2250,0,TRUE,12/1/2026 0:31,TRUE,9,0,13,2,1,0,,,,,,,,,TooEasy
e9f20f06-0493-4766-b522-4fe788971b3c,6,Racing,Medium,122.88,200,0,TRUE,12/1/2026 0:37,,,,,,,,3,38.31998,40.95998,122.8799,18,40,36.99871,0.9446009,TooHard
4dc45aae-83fc-4ce4-ab59-84f9768f918f,7,Fighting,Medium,27.82,771,1,TRUE,12/1/2026 22:31,FALSE,1,1,9,10,0.6428571,0.7010441,,,,,,,,,Balanced
67b4b590-4164-4293-8b3f-5f4d84fccb0b,7,Racing,Medium,80.21,0,1,FALSE,12/1/2026 22:37,,,,,,,,1,40.49982,40.49982,80.20743,26,40,37.1819,1,TooHard
1f3cbd51-518d-43ce-94b8-f312be47d4dd,8,Fighting,Medium,40.25,1495,0,TRUE,12/1/2026 22:42,TRUE,1,0,13,8,0.5909091,0,,,,,,,,,Balanced
cf569cc9-2c8d-4b57-aba0-70f4082bae39,8,Racing,Medium,118.72,50,0,TRUE,12/1/2026 22:48,,,,,,,,3,38.75998,39.57174,118.7152,21,40,38.6959,0.9795647,TooHard
dd62bb30-502c-4d01-af0c-76843353e67a,9,Fighting,Medium,52.48,2811,0,TRUE,14/1/2026 16:46,TRUE,4,11,13,5,0.7222222,0.4396928,,,,,,,,,Balanced
7fc8050b-3544-4a75-b867-db1185e26f90,9,Racing,Medium,120.01,500,0,TRUE,14/1/2026 16:56,,,,,,,,3,39.73129,40.00375,120.0113,12,40,38.68962,0.9944001,Balanced
d238f941-dec7-498d-bcf6-0121e9a93f3f,10,Fighting,Medium,48.15,2961,0,TRUE,20/1/2026 20:42,TRUE,1,14,13,4,0.7222222,0.3215539,,,,,,,,,Balanced
51b2c6d1-e9ca-4b6f-9611-7c592077a8fc,10,Racing,Medium,119.42,400,0,TRUE,20/1/2026 20:49,,,,,,,,3,38.54001,39.80635,119.4191,14,40,38.29867,0.9635291,Balanced
16c0795e-7858-4bf2-bd84-3e990d8e99ce,11,Fighting,Medium,41.62,3214,0,TRUE,17/1/2026 18:30,TRUE,4,14,13,2,0.9285714,0.3732218,,,,,,,,,TooEasy
26e90134-6fdd-457a-9653-37e9df98e486,11,Racing,Medium,119,300,0,TRUE,20/1/2026 20:18,,,,,,,,3,38.75999,39.66658,118.9997,16,40,38.72359,0.9808388,TooHard
eafdf9d5-5a99-44ec-a343-5c34ae6dfe2c,12,Fighting,Medium,48.58,3533,0,TRUE,26/1/2026 1:42,TRUE,5,17,13,5,0.8666667,0.381796,,,,,,,,,TooEasy
d5646e0f-ec8a-4dc2-bc1e-034844000f6b,12,Racing,Medium,119.08,450,0,TRUE,26/1/2026 1:49,,,,,,,,3,38.31998,39.69283,119.0785,13,40,38.68228,0.9599915,Balanced
cb19dadd-d45d-4376-80dd-6f12d8643d28,13,Fighting,Medium,48.84,2882,0,TRUE,26/1/2026 1:54,TRUE,5,11,13,7,0.7647059,0.3775721,,,,,,,,,Balanced
9141917d-26ec-4e96-a20a-bcad35d04288,13,Racing,Medium,117.46,650,0,TRUE,26/1/2026 2:00,,,,,,,,3,38.65997,39.15325,117.4597,9,40,39.31773,0.9856433,Balanced
e5428b63-3824-4c52-9844-a5f20a983208,14,Fighting,Medium,46.42,3192,0,TRUE,26/1/2026 2:48,TRUE,2,16,13,6,0.6842105,0.2871401,,,,,,,,,Balanced
06190b29-4aeb-406a-8ec7-981bbd1f73e8,14,Racing,Medium,117.06,900,0,TRUE,26/1/2026 2:54,,,,,,,,3,38.31998,39.01901,117.057,4,40,39.31282,0.9864596,TooEasy
b3fb3729-1fe4-46b4-80ed-56d601ae16fc,15,Fighting,Medium,41.05,2883,0,TRUE,26/1/2026 2:57,TRUE,6,10,13,2,0.8666667,0.2089355,,,,,,,,,TooEasy
bac16bf9-9e44-4aae-9ee3-c2fadcc5a47e,15,Racing,Medium,119.66,250,0,TRUE,26/1/2026 3:04,,,,,,,,3,39.78003,39.88593,119.6578,17,40,38.41175,0.9972389,TooHard
f0b8ce06-66ab-444c-b98d-442190c41ba3,16,Fighting,Medium,37.56,2856,0,TRUE,26/1/2026 3:21,TRUE,6,10,13,2,0.8125,0.3619781,,,,,,,,,TooEasy
77bfce70-5b5c-443c-89f3-6bcf668435a1,16,Racing,Medium,114.71,700,0,TRUE,26/1/2026 3:27,,,,,,,,3,37.67999,38.23746,114.7124,8,40,39.43822,0.9832847,Balanced
